"title","type","release_year","age_certification","runtime","genres","production_countries","imdb_score","imdb_votes","tmdb_popularity","tmdb_score"
"Ayotzinapa: The Turtle's Pace","MOVIE",2018,NA,80,"['documentation']","MX",7.4,206,1.302,6.6
"Rodney Carrington: Here Comes the Truth","MOVIE",2017,NA,66,"['comedy', 'documentation']","XX",4.5,164,1.615,5.1
"Coffee for All","MOVIE",2017,NA,69,"['documentation', 'european']","GLOBAL",5.6,398,1.902,5.8
"No One Will Ever Know","MOVIE",2018,NA,102,"['drama']","MX",6.2,135,1.751,5.7
"Fanatyk","MOVIE",2017,NA,33,"['drama', 'comedy']","PL",NA,NA,2.157,6.7
"Listen","MOVIE",2017,NA,109,"['drama', 'romance']","LB",6.6,230,0.6,8
"Can't Help Falling in Love","MOVIE",2017,NA,119,"['romance', 'comedy', 'drama']","PH",6.9,902,2.812,7.6
"Genius","MOVIE",2018,NA,98,"[]","IN",NA,NA,2.014,6.5
"Marc Maron: Too Real","MOVIE",2017,NA,70,"['comedy']","US",7.2,1943,2.996,6.8
"Mission Kathmandu: The Adventures of Nelly & Simon","MOVIE",2017,NA,84,"['animation', 'comedy']","CA",5.1,456,6.488,5.6
"Joe Rogan: Strange Times","MOVIE",2018,NA,63,"['comedy']","US",7.3,4357,2.777,7.1
"Lynne Koplitz: Hormonal Beast","MOVIE",2017,NA,51,"['comedy']","US",6.3,431,2.105,5.6
"What She Put on the Table","SHOW",2017,"TV-14",85,"['drama']","TW",7.3,30,2.319,1
"Vir Das: Abroad Understanding","MOVIE",2017,NA,65,"['comedy']","GLOBAL",6.9,1710,2.464,6.9
"A Taiwanese Tale of Two Cities","SHOW",2018,NA,69,"['drama']","TW",6.1,159,1.4,8
"The Insomnia Club","MOVIE",2018,"PG-13",84,"['comedy', 'drama']","MX",6.2,501,2.128,6.3
"Pickpockets","MOVIE",2018,NA,100,"['crime', 'drama', 'thriller']","CO",5.4,1192,9.362,5.1
"Club de Cuervos Presents: The Ballad of Hugo Sánchez","SHOW",2018,"TV-MA",33,"['comedy', 'drama']","MX",6.5,824,5.086,7.8
"Munafik 2","MOVIE",2018,NA,104,"['horror']","MY",5.5,1685,3.906,5.7
"Super Monsters and the Wish Star","MOVIE",2018,NA,27,"['comedy', 'family', 'animation', 'fantasy']","US",NA,NA,2.203,5.2
"Running Man","SHOW",2017,NA,11,"['comedy', 'animation']","KR",8.5,36,0.6,NA
"W. Kamau Bell: Private School Negro","MOVIE",2018,NA,65,"['comedy']","US",6.4,789,1.353,6.3
"Poster Boys","MOVIE",2017,"PG-13",128,"['comedy']","IN",5.4,1553,3.588,5.4
"The Lost Café","MOVIE",2018,NA,76,"['drama', 'comedy']","GLOBAL",7,28,1.4,5
"Jimmy: The True Story of a True Idiot","SHOW",2018,"TV-MA",46,"['drama', 'comedy']","JP",6.8,78,1.342,5
"Zion","MOVIE",2018,NA,10,"['documentation', 'drama']","US",NA,NA,6.126,6.5
"The Hows of Us","MOVIE",2018,NA,117,"['drama', 'romance', 'comedy']","PH",6.7,2708,3.409,6.7
"Two Catalonias","MOVIE",2018,NA,116,"['documentation', 'history', 'european']","ES",6.4,677,5.288,6.6
"Out of Many, One","MOVIE",2018,NA,35,"['documentation']","US",NA,NA,1.833,5.8
"Marriage Palace","MOVIE",2018,NA,102,"['comedy']","XX",6.2,184,0.84,7
"A House of Blocks","SHOW",2017,"TV-MA",85,"['drama', 'horror']","TW",2.3,137,1.772,8.3
"Out of Thin Air","MOVIE",2017,NA,85,"['crime', 'documentation']","GLOBAL",6.3,2304,3.187,6.1
"Bygones Be Bygones","MOVIE",2017,"PG-13",103,"['comedy']","TR",6.2,4054,1.827,5.4
"Loo Loo Kids Johny & Friends Musical Adventure","SHOW",2018,"TV-Y",3,"[]","US",NA,NA,0.917,10
"Finally Found Someone","MOVIE",2017,NA,118,"['comedy', 'romance']","PH",5.7,233,4.359,6.2
"Chris D'Elia: Man on Fire","MOVIE",2017,NA,65,"['comedy', 'documentation']","US",6.5,1729,3.004,6.2
"The Reservoir Game","MOVIE",2017,NA,100,"['documentation']","KR",6,35,1.569,8.8
"Pacíficum","MOVIE",2017,NA,74,"['documentation']","PE",6.5,128,1.119,5.5
"Aruna & Her Palate","MOVIE",2018,NA,106,"['drama', 'romance']","ID",7.2,770,2.302,6.6
"Rafinha Bastos: Ultimatum","MOVIE",2018,NA,62,"['comedy']","BR",6.5,219,2.044,6.8
"Justice: Qalb Al Adala","SHOW",2017,"TV-14",42,"['drama', 'crime']","US",5.4,160,0.6,7.2
"Meghnadbodh Rohoshyo","MOVIE",2017,NA,122,"['thriller']","IN",6.3,510,1.923,5.4
"Mahi NRI","MOVIE",2017,NA,132,"['drama', 'comedy']","IN",6,84,1.21,2
"Solo el amor","MOVIE",2018,NA,93,"['drama', 'romance', 'music', 'comedy']","AR",4.8,71,5.549,5.3
"Seeking a Man","MOVIE",2017,NA,100,"['romance', 'comedy', 'drama']","EG",6.3,631,1.676,6.4
"El Diesel","MOVIE",2018,NA,105,"['crime', 'thriller', 'action']","EG",4.5,455,2.001,6.1
"Franco Escamilla: Por La Anécdota","MOVIE",2018,NA,66,"['comedy']","MX",6.9,320,14.563,9
"Memories of Love","SHOW",2018,"TV-PG",44,"['drama', 'romance']","CN",5.7,17,5.027,2.7
"A Boy Named Flora A","SHOW",2017,"TV-MA",89,"['drama', 'comedy']","TW",7.9,323,1.699,7
"The Hollywood Masters","SHOW",2017,"TV-MA",34,"['documentation']","US",7.2,87,0.6,NA
"Fantastica","MOVIE",2018,"G",114,"['comedy', 'fantasy']","PH",3.6,212,1.882,6.1
"Smaller and Smaller Circles","MOVIE",2017,NA,111,"['crime', 'thriller']","PH",6.7,239,1.444,6.2
"El Especial de Alex Fernández, el Especial","MOVIE",2017,NA,52,"['comedy']","MX",6.7,74,0.954,6.7
"Vir Das: Losing It","MOVIE",2018,"PG-13",67,"['comedy']","US",7,1254,2.349,7.6
"Vanjagar Ulagam","MOVIE",2018,"PG-13",161,"['thriller', 'action', 'crime', 'drama']","IN",6.1,258,1.4,4.8
"Penalty Kick","MOVIE",2018,"PG-13",89,"['comedy']","GLOBAL",3.7,283,5.405,5.3
"Pulang","MOVIE",2018,NA,120,"['romance', 'drama', 'action']","MY",6.7,594,2.151,5.9
"Brad Paisley's Comedy Rodeo","MOVIE",2017,NA,63,"['comedy']","US",5.7,155,1.4,6.5
"Dance & Sing With True","SHOW",2018,NA,2,"['family', 'animation']","CA",6.4,6,0.84,10
"The Could've-Gone-All-the-Way Committee","SHOW",2018,"TV-14",24,"['comedy', 'drama']","JP",6.8,104,1.875,6.5
"Garbage","MOVIE",2018,NA,105,"['thriller', 'drama']","IN",3.7,1016,1.112,4.2
"Tracy Morgan: Staying Alive","MOVIE",2017,NA,60,"['comedy']","XX",6.3,1206,2.077,6.4
"Follow This","SHOW",2018,"TV-MA",18,"['documentation']","US",4.9,711,0.902,6
"Gurgaon","MOVIE",2017,NA,107,"['crime', 'thriller']","IN",6.5,2216,2.95,5
"Todo lo que sería Lucas Lauriente","MOVIE",2018,NA,74,"['comedy']","GLOBAL",6.7,110,0.739,7.5
"#FriendButMarried","MOVIE",2018,NA,102,"['romance', 'comedy', 'drama']","ID",6.8,714,1.257,6.7
"Gun City","MOVIE",2018,NA,127,"['thriller', 'action', 'crime', 'history', 'european']","GLOBAL",6.3,3895,6.61,6.4
"Todd Barry: Spicy Honey","MOVIE",2017,NA,60,"['comedy']","US",6.8,855,2.682,7.3
"My Travel Buddy","MOVIE",2017,"PG-13",115,"['comedy']","TR",6.1,6747,6.46,5.7
"Mo Amer: The Vagabond","MOVIE",2018,NA,56,"['comedy', 'documentation']","US",7.3,838,2.374,5.7
"Puppy Star Christmas","MOVIE",2018,"PG",90,"['family', 'comedy']","US",3.6,249,4.446,5.7
"Noblemen","MOVIE",2018,NA,108,"['drama']","IN",5.6,300,1.706,6
"Back to Q82","MOVIE",2017,NA,105,"['scifi', 'action', 'comedy']","KW",6.1,104,1.144,NA
"Ladies First","MOVIE",2017,"G",39,"['documentation', 'comedy', 'romance']","IN",3.9,25,5.889,7.5
"Pretty Man","SHOW",2018,"TV-14",35,"['family']","CN",NA,NA,3.328,8.5
"Voulez-vous rire avec moi ce soir?","MOVIE",2018,NA,93,"['documentation', 'european']","FR",6.8,43,0.973,9.3
"Recovery Boys","MOVIE",2018,NA,90,"['documentation']","US",6.7,720,5.645,6.6
"King of Boys","MOVIE",2018,NA,169,"['drama', 'crime']","NG",5.8,423,4.754,6.6
"Little Miss Sumo","MOVIE",2018,NA,18,"['documentation']","GLOBAL",NA,NA,27.973,5.8
"Late Life: The Chien-Ming Wang Story","MOVIE",2018,NA,97,"['documentation', 'sport']","GLOBAL",7.1,474,2.624,6.3
"A 3 Minute Hug","MOVIE",2018,NA,28,"['documentation']","MX",NA,NA,3.15,6.4
"Son Of Adam","MOVIE",2018,NA,109,"['drama', 'thriller']","EG",NA,NA,1.4,6
"What Did I Mess","MOVIE",2018,"PG-13",100,"['comedy', 'romance']","LB",7.1,701,0.749,6
"Edmilson Filho: Notas, Comedy about Relationships","MOVIE",2018,NA,79,"['comedy']","BR",4.9,22,1.157,5
"Seven Sundays","MOVIE",2017,NA,128,"['drama', 'comedy']","PH",7.6,467,3.214,8.6
"Pandigai","MOVIE",2017,"R",150,"['romance', 'action', 'thriller']","IN",6.3,285,1.211,6.5
"Brij Mohan Amar Rahe!","MOVIE",2018,NA,100,"['comedy', 'drama', 'crime']","IN",6.9,3783,1.703,5.3
"Pahuna: The Little Visitors","MOVIE",2017,NA,138,"['drama']","GLOBAL",7.5,403,2.346,8.1
"Adhugo","MOVIE",2018,NA,110,"['drama']","IN",5.9,68,0.925,7
"Luciano Mellera: Infantiloide","MOVIE",2018,"PG-13",66,"['comedy', 'drama', 'crime']","AR",7.5,1517,2.501,7.4
"Coco y Raulito: Carrusel de ternura","MOVIE",2018,"PG-13",56,"['comedy']","MX",6.6,40,0.976,7
"Jindua","MOVIE",2017,NA,140,"['romance', 'family']","IN",6.3,283,1.094,9.3
"A Witches' Ball","MOVIE",2017,"PG",90,"['fantasy', 'comedy', 'family']","CA",5.1,386,5.151,6.7
"HiGH&LOW The Movie 3: Final Mission","MOVIE",2017,NA,118,"['drama', 'action']","JP",7.1,656,5.265,6.4
"Eve's Apple","MOVIE",2017,NA,90,"['documentation', 'european']","ES",5.8,87,1.65,6.5
"Ana e Vitória","MOVIE",2018,NA,115,"['romance', 'comedy', 'music']","BR",6.4,610,6.488,7.2
